region,date,NDVI,NDWI,MSI,label
Mandoul,2019-06-05,0.3353358820316767,-0.2578539990893914,1.694887525562372,Stress_severe
Mandoul,2019-06-10,0.389268805891636,-0.18588162762022195,1.4566452101476712,Stress_severe
Mandoul,2019-07-25,0.7301587301587301,0.20563097033685268,0.658882402001668,Stress_leger
Mandoul,2019-08-09,0.8400195694716243,0.3351082712105076,0.49800584950810955,Normal
Mandoul,2019-08-14,0.8406862745098039,0.3897756187832524,0.43908122503328895,Normal
Mandoul,2019-09-03,0.807564698075647,0.3317037399168907,0.5018355359765051,Normal
Mandoul,2019-09-18,0.589873417721519,0.24975124378109453,0.6003184713375797,Stress_leger
Mandoul,2020-06-09,0.5769712140175219,-0.029275808936825885,1.0603174603174603,Stress_modere
Mandoul,2020-06-14,0.6234612599565532,0.041821561338289966,0.91971454058876,Stress_modere
Mandoul,2020-08-03,0.7647058823529411,0.3270666298037047,0.5070833333333333,Normal
Mandoul,2020-08-08,0.6089456869009585,0.49791790600832836,0.335186656076251,Normal
Mandoul,2020-09-22,0.596871667259154,0.21767416644076987,0.6424755120213713,Stress_leger
Mandoul,2021-06-09,0.5093922651933702,-0.12993630573248408,1.2986822840409955,Stress_modere
Mandoul,2021-06-19,0.191512513601741,0.007514184940959976,0.9850837138508372,Stress_modere
Mandoul,2021-07-04,0.6251372118551043,0.17476691132711764,0.7024653833164471,Stress_leger
Mandoul,2021-07-24,0.7108632796365139,0.32713873758410766,0.5070014485755674,Normal
Mandoul,2021-08-23,0.7211184694628403,0.30963045912653975,0.5271483539974348,Normal
Mandoul,2021-09-07,,,,Stress_severe
Mandoul,2021-09-12,0.6768768768768769,0.2503358710255262,0.5995702005730659,Normal
Mandoul,2022-06-24,0.6737830913748932,0.20024494794856093,0.6663265306122449,Stress_leger
Mandoul,2022-07-04,0.7177447250086475,0.25435716089921695,0.594442207007652,Normal
Mandoul,2022-07-09,0.658145745898512,0.22319166901210244,0.6350667280257708,Stress_leger
Mandoul,2022-08-03,0.5864828812805691,0.2612230470130788,0.5857623318385651,Normal
Mandoul,2022-08-08,0.2022971470915154,0.10336620197211832,0.8126348228043143,Stress_modere
Mandoul,2022-09-07,0.7034534534534534,0.3066513101065361,0.5306302335830763,Normal
Mandoul,2022-09-22,0.7015029709891646,0.308954019897822,0.5279375513557929,Normal
Mandoul,2023-07-24,0.812788906009245,0.38086854460093894,0.4483637909052274,Normal
Mandoul,2023-09-02,0.7247863247863248,0.34623082054703136,0.48562933597621405,Normal
Mandoul,2023-09-07,0.8201766122558202,0.36888710002012476,0.4610408703322552,Normal
Moyen_Chari,2019-06-05,0.24956165984804207,-0.212426326129666,1.5394449641409418,Stress_severe
Moyen_Chari,2019-06-10,0.15842450765864333,-0.20819623093030212,1.5258783528522857,Stress_severe
Moyen_Chari,2019-07-02,0.26357661708751295,-0.16032639926445236,1.3818779085683,Stress_severe
Moyen_Chari,2019-07-17,0.24598183088749126,-0.1702152414194299,1.410263600673023,Stress_severe
Moyen_Chari,2019-08-09,,,,Stress_severe
Moyen_Chari,2019-08-14,0.2944199706314244,-0.11362493715434892,1.2563811684628474,Stress_modere
Moyen_Chari,2019-09-15,0.35791674586580496,-0.07160493827160494,1.1542553191489362,Stress_modere
Moyen_Chari,2019-09-18,0.2930117062788223,0.08,0.8518518518518519,Stress_modere
Moyen_Chari,2020-06-01,0.1716517431891789,-0.22806577130663988,1.5908943089430894,Stress_severe
Moyen_Chari,2020-06-09,0.17927663734115348,-0.2144810522203412,1.5460875331564987,Stress_severe
Moyen_Chari,2020-07-24,0.5051088405153266,-0.013108068744538305,1.026564344746163,Stress_modere
Moyen_Chari,2020-08-03,0.14934952298352125,0.04924782264449723,0.9061273769996981,Stress_modere
Moyen_Chari,2020-08-08,0.6242208370436332,0.08136949755446865,0.8495065789473685,Stress_leger
Moyen_Chari,2020-09-04,0.7977850697292863,0.2467643293983786,0.6041524070271503,Stress_leger
Moyen_Chari,2020-09-09,0.8268428372739917,0.264348453856335,0.5818424057860677,Normal
Moyen_Chari,2021-06-09,0.27268712740119233,-0.1968789187682876,1.4902845246356697,Stress_severe
Moyen_Chari,2021-06-11,0.2595811932042671,-0.17983020324157448,1.4385194479297365,Stress_severe
Moyen_Chari,2021-07-24,0.7029053420805998,0.13847117794486216,0.7567418822234453,Stress_leger
Moyen_Chari,2021-08-05,0.26576576576576577,-0.07969432314410481,1.173190984578885,Stress_modere
Moyen_Chari,2021-08-10,0.19331662489557228,-0.04760634751300173,1.0999719966395967,Stress_modere
Moyen_Chari,2021-09-09,,,,Stress_severe
Moyen_Chari,2021-09-12,0.48052448900887,0.06431937898530635,0.8791351914561084,Stress_leger
Moyen_Chari,2022-06-01,0.4170581857607517,-0.0877152163797115,1.192297883193063,Stress_modere
Moyen_Chari,2022-06-06,0.4021151586368978,-0.07775544906477044,1.1686221924237346,Stress_modere
Moyen_Chari,2022-07-04,,,,Stress_severe
Moyen_Chari,2022-07-06,0.07901907356948229,-0.1437837837837838,1.3358585858585859,Stress_severe
Moyen_Chari,2022-08-05,0.29229607250755285,-0.11496185180395707,1.2597895967270603,Stress_modere
Moyen_Chari,2022-08-23,0.43931297709923667,-0.09033892172234953,1.1986210554229648,Stress_modere
Moyen_Chari,2022-09-07,0.5123751628310899,-0.009948834565093803,1.0200976169968419,Stress_modere
Moyen_Chari,2022-09-14,0.5696104897801774,0.04613802853103714,0.9117936117936118,Stress_modere
Moyen_Chari,2023-06-01,0.12278928751894896,-0.27630007599609163,1.7635763576357635,Stress_severe
Moyen_Chari,2023-06-06,0.18335619570187472,-0.19162892394190223,1.474111282843895,Stress_severe
Moyen_Chari,2023-07-01,0.18806172630150925,-0.11962804724805227,1.2717670568084498,Stress_modere
Moyen_Chari,2023-07-04,0.2485160269093787,-0.18517561983471073,1.4545166402535659,Stress_severe
Moyen_Chari,2023-08-10,0.6891632957206728,0.10516785067558156,0.809679858835392,Stress_leger
Moyen_Chari,2023-08-25,0.43058126619770454,0.18382352941176472,0.6894409937888198,Stress_leger
Moyen_Chari,2023-09-02,0.6918518518518518,0.13518886679920478,0.7618213660245184,Stress_leger
Moyen_Chari,2023-09-04,0.6954446854663774,0.14907380182299323,0.740532241555783,Stress_leger
Logone_Occidental,2019-06-05,0.5144927536231884,0.02046948356807512,0.9598822230401178,Stress_modere
Logone_Occidental,2019-06-20,0.6492322456813819,0.0963317384370016,0.8242653476869363,Stress_leger
Logone_Occidental,2019-07-15,0.7573376473307141,0.24065916136400717,0.6120462914255655,Stress_leger
Logone_Occidental,2019-07-20,0.7403369672943508,0.23640204189403274,0.6175968109339408,Stress_leger
Logone_Occidental,2019-08-14,0.7751039159921242,0.20726082428210088,0.6566428395366034,Stress_leger
Logone_Occidental,2019-09-03,0.7423312883435583,0.1744870367424845,0.7028710725893824,Stress_leger
Logone_Occidental,2019-09-18,0.6809728183118741,0.14783458156952134,0.7424113475177305,Stress_leger
Logone_Occidental,2020-06-09,0.3121314237573715,-0.13520266518600776,1.312680577849117,Stress_severe
Logone_Occidental,2020-06-14,0.3681475707976098,-0.09175577785443256,1.2020508925180402,Stress_modere
Logone_Occidental,2020-07-24,0.39213165338133193,-0.14254038644282546,1.3324713705208717,Stress_severe
Logone_Occidental,2020-08-08,0.367816091954023,-0.1636896046852123,1.3914565826330532,Stress_severe
